clip_id,maneuver_lat,maneuver_long,traffic_light,traffic_control,road_geometry,lane_config,odd_condition,routing_intent,agent_type,relative_position,lane_relation,agent_behavior,confidence,confidence_notes
ed637800-f49f-4b1e-bdc0-6e4673d736ee,none,lead_obstacle_following,none,none,none,none,none,none,car,in_path_ahead,same_lane,decelerating,high,
eec154e5-5874-450a-a98c-ddb681e0fe3f,lane_keeping,none,none,none,none,none,none,none,none,none,none,none,high,
6112f898-2f4e-4788-aa2c-27abd488fd54,none,stop_for_static_constraints,red,none,none,none,none,none,none,none,none,none,high,
6329548a-bc4d-45a1-97fb-d0350f4c2b23,none,stop_for_static_constraints,red,none,none,none,none,none,none,none,none,none,high,
752561f7-26ce-4a32-9fb4-dc2f2805ce53,none,stop_for_static_constraints,none,stop_sign,none,none,none,none,none,none,none,none,high,
069a8056-5ebe-4816-9024-b101ec1311b9,none,stop_for_static_constraints,red,none,none,none,none,none,none,none,none,none,high,
1742f2a4-88d2-4aaf-a474-fb7b755d8ea6,none,set_speed_tracking,green,none,none,none,none,none,none,none,none,none,high,
1b1d89de-ba03-4106-a267-f9025e91c132,none,stop_for_static_constraints,red,none,none,none,none,none,none,none,none,none,high,
1cb323ce-ed10-4fba-a61e-e523e5b93ab2,none,set_speed_tracking,green,none,none,none,none,none,none,none,none,none,high,
1d91de7f-af33-491e-ba1d-5ccd4bbe0371,none,set_speed_tracking,green,none,none,none,none,none,none,none,none,none,high,
79a00e9c-c9b1-40d2-9ff5-6faca877066b,none,stop_for_static_constraints,red,none,none,none,none,none,none,none,none,none,high,
7ad70959-fc44-42fb-8187-975a1a025da8,none,stop_for_static_constraints,red,none,none,none,none,none,none,none,none,none,high,
7b026836-2af6-42ce-8485-8a1b52ba1fb0,none,stop_for_static_constraints,red,none,none,none,none,none,none,none,none,none,high,
7b634b49-a0b8-43f9-a413-1b697331c6bd,none,stop_for_static_constraints,red,stop_sign,none,none,none,none,none,none,none,none,high,
83d03ca3-7f61-4c1c-a3d4-3f5b4448c2a6,none,acceleration_for_passing,green,none,intersection,none,none,none,none,none,none,none,high,
9ed7efcf-40bc-40f9-a2a2-0ae3443e86e4,lane_keeping,none,none,none,none,none,none,none,none,none,none,none,high,
e388147e-bfa3-48b7-886b-9c1fa6aa9ac4,none,stop_for_static_constraints,red,none,none,none,none,none,none,none,none,none,high,
ee5bca58-bf5e-4978-a8f9-71ea1dfc4e8f,none,stop_for_static_constraints,red,none,none,none,none,none,none,none,none,none,high,
ffa6e703-3d67-4a8a-a155-01d310e49067,none,stop_for_static_constraints,red,none,none,none,none,none,none,none,none,none,high,
052da783-8e46-4932-bdd3-6a5fde454387,merge_split,none,none,none,none,none,none,exit_needed,none,none,none,none,high,
0e226bbf-67db-4ff8-8a80-1f676d391881,merge_split,none,none,none,none,none,none,merge_needed,none,none,none,none,high,
1a9afd2d-28ca-4f90-a5e5-d722652253a4,lane_keeping,none,none,none,none,none,none,none,none,none,none,none,high,
43888d9d-9de2-4662-9025-b7b049388c9b,lane_keeping,gap_searching,none,none,none,none,none,lane_change_needed,car,right_adjacent,right_lane,accelerating,high,
4803e746-fe7a-4f7e-9766-63477025479a,turn_left,none,green,none,intersection,none,none,turn_left,none,none,none,none,high,
4d5eba31-e2b4-4cb7-b1e7-08caf93c292d,none,set_speed_tracking,green,none,intersection,none,none,go_straight,none,none,none,none,high,
633a9684-b68b-46e8-8c02-08fa7035e835,lane_change_right,lead_obstacle_following,none,none,none,none,none,merge_needed,vehicle,in_path_ahead,right_lane,decelerating,high,
66b71f97-a4a3-484e-9e47-9ad61ec99992,none,lead_obstacle_following,none,none,none,none,none,none,none,in_path_ahead,same_lane,decelerating,high,
